"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-30 12:59:51,高雄市,茄萣區,"Jaivier ",
No.2,2017-11-30 15:11:13,臺北市,中山區,QQ,幫魚QQ
No.3,2017-11-30 19:52:45,高雄市,岡山區,阿賢,贊成
No.4,2017-12-01 03:39:48,臺北市,南港區,尼諾,大家都只愛毛孩，魚好可憐
No.5,2017-12-01 19:38:35,新北市,新莊區,Sayolu,幾所不欲，勿施於人，別讓身體變成動物的墳場，你可以選擇善良。
No.6,2017-12-04 17:54:55,臺北市,大安區,紀行,
No.7,2017-12-04 21:37:34,新北市,三重區,playgamenow,
No.8,2017-12-09 16:07:48,新北市,三峽區,akina,
No.9,2017-12-10 12:29:24,基隆市,暖暖區,Stone,要殺就快殺，不要凌遲
No.10,2017-12-11 16:27:54,新北市,新店區,may ray,

