"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-14 05:55:20,高雄市,橋頭區,夏娜,請把人行道還來，謝謝！
No.2,2017-12-14 07:55:37,高雄市,鳳山區,lady,
No.3,2017-12-14 13:51:04,高雄市,新興區,Rita,
No.4,2017-12-14 13:53:21,高雄市,新興區,Mar,
No.5,2017-12-14 15:06:06,高雄市,苓雅區,k,
No.6,2017-12-14 16:24:25,新北市,淡水區,小白,
No.7,2017-12-14 16:48:47,新北市,永和區,Dennis,違規應不論駕駛人是否在車上，一旦違規停車即立即開單，光用勸導離開是沒有用的
No.8,2017-12-14 16:53:49,高雄市,新興區,背包天,
No.9,2017-12-14 17:38:28,高雄市,鳳山區,"GUO  ",
No.10,2017-12-14 22:30:10,高雄市,三民區,稻草魚,
No.11,2017-12-15 09:16:57,彰化縣,彰化市,黃核統,
No.12,2017-12-15 11:34:31,臺中市,大里區,andyshu,
No.13,2017-12-15 13:04:35,高雄市,鳳山區,Ellen,
No.14,2017-12-17 11:55:07,臺中市,東區,木與,
No.15,2017-12-18 01:06:49,新北市,中和區,lasoz,
No.16,2017-12-18 10:40:17,桃園市,八德區,Jason,
No.17,2017-12-18 13:09:04,新北市,三峽區,akina,
No.18,2017-12-19 09:13:52,高雄市,楠梓區,樂樂,雖會增加警察人員的工作負荷，但也不能誏違規者心存僥倖。
No.19,2017-12-26 12:20:02,新北市,永和區,giefeefee,
No.20,2017-12-26 18:40:57,高雄市,左營區,rirakuuma,
No.21,2018-01-07 03:04:33,高雄市,前鎮區,墨狐,

