"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-05 02:09:43,高雄市,三民區,瑟斯,
No.2,2018-05-05 07:59:21,臺中市,東區,K,加班一直換補休，工作又沒代理人，請假隔天繼續加班，無線循環，到底給我那麼多補休有什麼用？我要的是加班費。
No.3,2018-05-05 11:03:41,臺中市,南屯區,Benson,
No.4,2018-05-05 15:44:26,臺南市,善化區,brian760103,
No.5,2018-05-05 16:11:37,臺中市,北屯區,tgfr5489,
No.6,2018-05-06 00:36:28,澎湖縣,白沙鄉,支持,
No.7,2018-05-06 10:10:18,花蓮縣,花蓮市,雪生,+1
No.8,2018-05-07 01:18:08,臺中市,北屯區,Kevin,
No.9,2018-05-07 04:37:34,臺中市,北區,兔子,同意
No.10,2018-05-07 06:15:42,臺中市,豐原區,葫蘆,台灣的慣老闆太多，因為他們是政客的金主。勞工你只有選票。
No.11,2018-05-07 08:46:21,新北市,板橋區,Devin,
No.12,2018-05-07 09:20:00,苗栗縣,銅鑼鄉,LORE,
No.13,2018-05-07 10:35:10,新北市,中和區,小彬,
No.14,2018-05-07 11:22:03,臺南市,東區,Lulu Lin,
No.15,2018-05-07 20:48:38,臺南市,新市區,岑岑,
No.16,2018-05-07 21:33:30,桃園市,龜山區,雯Wen,
No.17,2018-05-08 02:01:40,新北市,新莊區,G,
No.18,2018-05-08 05:04:14,臺南市,永康區,希伊歐,雇主僱用勞工進行相關作業並給予其薪資，這本來就是一場交易。
No.19,2018-05-08 12:38:55,彰化縣,彰化市,水瓶子,
No.20,2018-05-08 20:18:01,高雄市,苓雅區,胖胖,
No.21,2018-05-09 01:48:48,新北市,新莊區,沒錯,
No.22,2018-05-10 08:02:49,臺南市,永康區,小郭,
No.23,2018-05-10 09:02:17,新北市,中和區,lynn,
No.24,2018-05-15 02:55:36,新北市,新店區,apoway,應提高罰則，以營業額的一定比例來罰款，不然大公司違法都沒有在怕的。
No.25,2018-05-18 10:33:23,新北市,板橋區,banban,
No.26,2018-05-25 01:29:37,新北市,新莊區,cheng,
No.27,2018-05-27 10:18:26,宜蘭縣,壯圍鄉,小白,同意
No.28,2018-05-27 19:13:14,新北市,三重區,Tin,

