"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-20 20:34:30,臺北市,信義區,巧古力,
No.2,2017-10-10 21:15:11,屏東縣,屏東市,ghbio364,
No.3,2017-10-19 23:50:21,新北市,三重區,阿楠,
No.4,2017-10-22 01:44:33,臺北市,中山區,帥氣的浣熊,
No.5,2017-10-23 09:22:45,桃園市,蘆竹區,Robin,"善用科技,保護人民安全"
No.6,2017-10-24 22:17:16,屏東縣,萬巒鄉,魯國國相,
No.7,2017-10-25 19:11:52,新竹市,東區,alan,
No.8,2017-11-03 20:37:23,桃園市,桃園區,美格,當我們知道大客貨車在路上幾乎看不到我們機車族靠近之後，不要以為騎到他們前方就安全了，如果他們當時沒看前方或低頭滑手機沒看到你騎到他們前方，他們有可能還是不會發現到你……
No.9,2017-11-03 23:19:32,桃園市,中壢區,"Kenji ",
No.10,2017-11-11 17:14:03,臺北市,信義區,angelsky777,
No.11,2017-11-12 20:54:21,高雄市,三民區,sunshine0962,
