"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-13 01:32:26,高雄市,三民區,帥哥,支持，我認為廠商不應該一直想要以新潮的功能去欺騙消費者，受害者一堆都求助無門。
No.2,2017-06-13 08:37:53,新北市,樹林區,水,
No.3,2017-06-13 08:56:22,桃園市,八德區,max,
No.4,2017-06-13 09:10:40,嘉義縣,六腳鄉,豆爸,
No.5,2017-06-13 10:45:54,臺中市,西區,KevinYeh,拒絕標榜有防水卻經不起一般撥水之意外的產品
No.6,2017-06-13 13:47:21,臺東縣,臺東市,vvxxaa69,支持。
No.7,2017-06-13 15:09:33,新北市,中和區,Gyop45,
No.8,2017-06-13 16:05:16,新北市,新莊區,JimmyChen,
No.9,2017-06-13 17:12:15,臺北市,中正區,Wesley,
No.10,2017-06-13 19:08:04,高雄市,左營區,graffiti317,
No.11,2017-06-13 20:17:23,新北市,永和區,T,這種事不是應該提案修法嗎，跟政策有什麼關連
No.12,2017-06-13 23:07:56,新北市,板橋區,閎,
No.13,2017-06-14 05:40:58,新竹縣,新豐鄉,Mr.S,"也請支持 (鬧區馬路興建行人&機車鋼構高架道路),(公共政策網路參與平台應該扮演匯集全國民眾意見的橋樑不限行政院事務),(教育改革應從建立大數據庫&學分制度著手),(頭城交流道配合礁溪街道改善圖),(建立公共工程品質&廠商信用追蹤系統),(調整行政區有效整合區域資源),(建議政府發行特別股與民眾交換公共設施保留地),(四或五線道窄安全島的不良的汽車待轉車道修改為左右彎汽車都須待轉),(蘇花改接國道5),(各級學校,各類補習班教室都須設置防止性侵害標語),(增加政府組織內人員的流動性),(課徵所得稅時的小額退補稅差應列下一期一起併算),(興建家戶地下水庫),(夏季用電漲價價差應專款專用補貼太陽能或風力發電),(讓消費者獲得""消費&不浪費權"",防止浪費與改標)"
No.14,2017-06-14 11:03:57,臺南市,永康區,Jake,
No.15,2017-06-14 15:05:42,新北市,永和區,DanL,標榜IPOO防水手機保固規則訂製，不得標示IP等級卻又標示遇水不保固之矛盾標示
No.16,2017-06-14 15:52:10,新北市,三重區,博士倫,
No.17,2017-06-15 00:16:16,臺南市,永康區,Sakuramura,
No.18,2017-06-15 21:49:30,屏東縣,屏東市,吳明儒,曾經買過ip68防水手機 結果才洗個澡放旁邊而已就進水 廠商服務態度不佳
No.19,2017-06-16 11:39:06,臺南市,永康區,琉璃,
No.20,2017-06-16 11:41:02,嘉義縣,水上鄉,asd,
