"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-03 02:28:11,新北市,林口區,AlvinChang,
No.2,2018-04-09 01:26:08,新北市,泰山區,"Wolf ",
No.3,2018-04-09 12:28:52,高雄市,楠梓區,zephoenixro,
No.4,2018-04-12 21:04:49,臺北市,大安區,小青青,
No.5,2018-04-17 19:20:43,高雄市,楠梓區,長也,
No.6,2018-04-22 05:32:04,臺中市,西屯區,YY,
No.7,2018-04-25 08:42:15,屏東縣,恆春鎮,nautiluschen,
No.8,2018-04-30 13:54:31,高雄市,鼓山區,育庭,非常不喜歡打檔車 如果能有自排車 相信也比較多人想去報考
No.9,2018-05-03 16:33:53,新北市,八里區,巨蟹座,
No.10,2018-05-15 10:55:23,新北市,土城區,吳建儀,
No.11,2018-05-16 00:01:11,新北市,汐止區,王,

