"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-24 21:38:23,新北市,三重區,泰,
No.2,2018-04-25 00:35:18,新北市,淡水區,阿家,就跟焚化爐一樣 蓋在妳家旁邊要不要 他在自己買的地燒垃圾賺錢不是也是他的自由嘛？
No.3,2018-04-25 13:32:50,彰化縣,彰化市,核統,
No.4,2018-04-26 12:47:45,新北市,中和區,CYJ,
No.5,2018-04-29 21:44:00,臺北市,文山區,小樹,堅決拒吸鄰居二手菸.三手菸.
No.6,2018-04-30 13:14:26,臺北市,松山區,DD,
No.7,2018-04-30 16:46:26,高雄市,楠梓區,zephoenixro,
No.8,2018-05-01 14:17:00,高雄市,楠梓區,sophia,
No.9,2018-05-03 09:16:21,臺北市,北投區,Na,
No.10,2018-05-08 00:16:04,臺北市,中山區,糖醋魚片,
No.11,2018-05-08 23:36:51,新竹縣,竹北市,Yu,
No.12,2018-05-09 22:54:33,臺中市,南區,Anita,
No.13,2018-05-10 00:12:48,苗栗縣,苗栗市,Achun,支持無菸居住環境品質
No.14,2018-05-16 21:57:28,高雄市,大社區,Jason,支持
No.15,2018-05-16 22:08:50,臺南市,北區,Ray,抽煙的人吃屎吧
No.16,2018-05-17 23:10:17,桃園市,桃園區,yipn,菸害不用多說了，公寓大樓結構真的不適合吸煙的人聲張自宅吸煙的自由，太容易侵害到其他人了
No.17,2018-05-18 10:21:01,桃園市,桃園區,小一,降低菸害!拒吸二手菸!
No.18,2018-05-20 01:17:11,新北市,永和區,Kite,

