"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-22 02:28:42,臺南市,永康區,Jake,
No.2,2018-05-22 08:30:38,臺中市,西屯區,Michelle,
No.3,2018-05-22 20:47:10,花蓮縣,花蓮市,殺敵爾,超級無敵霹靂支持
No.4,2018-05-23 15:42:02,臺南市,善化區,YYDAYS,
No.5,2018-05-23 16:03:31,新竹市,香山區,兒兒兒,
No.6,2018-05-23 17:16:04,桃園市,桃園區,paper588,
No.7,2018-05-23 21:21:04,臺中市,烏日區,Keng0116,依民法之契約自由，政見視為契約內容，若未達成應以違反契約的刑責開罰
No.8,2018-05-24 00:55:18,新北市,汐止區,吳凱倫,
No.9,2018-05-24 11:25:34,新北市,中和區,LEO,除追繳薪資外，檢查官應起訴！
No.10,2018-05-24 16:34:51,臺南市,中西區,阿仁,
No.11,2018-05-24 17:18:08,新北市,新店區,修得痛快,不要再讓政客可以無負擔的亂開支票
No.12,2018-05-25 09:14:56,新北市,新店區,apoway,
No.13,2018-05-25 13:46:13,高雄市,左營區,屢屢,
No.14,2018-05-25 16:20:29,雲林縣,莿桐鄉,支持,
No.15,2018-05-25 17:03:00,高雄市,三民區,"JTW ",
No.16,2018-05-25 20:06:46,臺北市,北投區,LIN ROBERT,政見應視為有效契約..沒履行的依背信罪審判
No.17,2018-05-26 05:44:25,新竹縣,竹東鎮,雄獅,不負責的政見 騙選票 視同詐騙 就算可以罷免 但是傷害已經造成 必須偵查追究
No.18,2018-05-26 18:37:10,桃園市,八德區,卡卡喵,
No.19,2018-05-27 00:57:48,彰化縣,和美鎮,黑黑,不應以欺騙的方式來獲取選票
No.20,2018-05-27 10:09:36,宜蘭縣,壯圍鄉,小白,同意
No.21,2018-05-27 10:33:21,新竹市,北區,去自以為,
No.22,2018-05-27 22:32:18,高雄市,楠梓區,Hsiang,同意！
No.23,2018-05-28 00:59:04,臺中市,龍井區,ven,
No.24,2018-05-28 09:00:05,高雄市,楠梓區,zephoenixro,
No.25,2018-05-28 10:15:47,新北市,淡水區,james,
No.26,2018-05-28 14:30:29,嘉義縣,布袋鎮,meng,支持
No.27,2018-05-28 15:35:09,桃園市,桃園區,GT,
No.28,2018-05-29 08:12:27,臺北市,文山區,Brian,

