"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-11-17 00:03:44,宜蘭縣,冬山鄉,ㄘ雞吧,
No.2,2017-11-17 00:06:56,臺北市,內湖區,炸雞好ㄘ,
No.3,2017-11-17 00:08:40,基隆市,暖暖區,。,
No.4,2017-11-17 00:14:57,新北市,永和區,騎士不該被歧視,
No.5,2017-11-17 00:19:07,基隆市,信義區,YIN,
No.6,2017-11-17 00:24:06,苗栗縣,頭份市,鮮肉魚,我覺得可以
No.7,2017-11-17 00:37:25,臺南市,新化區,昌,非常好，順便宣導外勞!!!
No.8,2017-11-17 00:43:07,新北市,新莊區,秀秀,"無掛牌的電動自行車
根本無視於交通規則
因為開罰開不到
就算有警察時時刻刻攔檢也不可能
那導致交通意外的話該由誰負責"
No.9,2017-11-17 01:09:45,臺北市,北投區,風,"只要在道路行走的都該掛牌和考照
甚至連腳踏車都該掛牌，才不會無牌我最大"
No.10,2017-11-17 01:10:21,臺中市,西屯區,子睿,
No.11,2017-11-17 01:10:24,高雄市,林園區,LIN.J,
No.12,2017-11-17 01:14:09,臺中市,太平區,林花生,
No.13,2017-11-17 01:15:22,臺南市,東區,NightKirie,"絕對支持本提議!
太多電動自行車駕駛憑藉著無法可管，
闖紅燈，逆向等樣樣來，
如此駕駛在路上行駛根本害人害己。"
No.14,2017-11-17 01:15:42,臺中市,北屯區,命,
No.15,2017-11-17 01:19:18,臺中市,南區,JJzhang,
No.16,2017-11-17 01:22:28,桃園市,大園區,大昱,早就該管理了，未滿十八歲就可以上路，很危險!
No.17,2017-11-17 01:23:43,臺中市,南區,芭樂,
No.18,2017-11-17 01:34:18,臺南市,南區,WILL,
No.19,2017-11-17 01:51:44,臺北市,北投區,Meng,現在路上的電動腳踏車根本是交通安全的大黑洞。買來亂改更強的馬達，加速與一般機車沒兩樣；違反交通規則出事人跑了根本找不到責任歸屬。強烈建議電動腳踏車必須和一般機車或電動機車方式管理，可以不用駕照但是必須要有類似牌照的登錄、限制馬力規範以防亂改裝
No.20,2017-11-17 02:09:53,嘉義市,東區,UEde,
No.21,2017-11-17 02:20:03,新北市,板橋區,YANG CHIA LIN,
No.22,2017-11-17 02:39:42,臺中市,龍井區,莫,
No.23,2017-11-17 02:53:08,高雄市,茄萣區,阿靜,
No.24,2017-11-17 03:10:15,嘉義市,東區," 我知道會打槍",路上一堆自殺老人
No.25,2017-11-17 03:11:03,臺北市,士林區,黑色藍調,
No.26,2017-11-17 03:13:01,基隆市,安樂區,silveraries,
No.27,2017-11-17 03:50:45,臺北市,大安區,被三寶撞過好多次的可憐人QQ,
