"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-05 08:51:56,臺中市,北屯區,NnQnN,
No.2,2018-01-05 15:08:28,臺北市,中山區,EDWARD1234,"同意

否則腳踏中國身份證怎能愛台灣呢?"
No.3,2018-01-05 20:45:19,南投縣,草屯鎮,獨白,
No.4,2018-01-06 11:10:45,彰化縣,二林鎮,Husker,
No.5,2018-01-06 13:35:40,嘉義市,西區,66666,
No.6,2018-01-06 20:47:08,臺中市,北屯區,潔雅,
No.7,2018-01-06 22:30:43,臺中市,西屯區,very good,正確
No.8,2018-01-07 01:54:39,新竹市,東區,阿峰,
No.9,2018-01-07 08:12:58,臺北市,北投區,LIN ROBERT,
No.10,2018-01-07 11:27:17,臺中市,太平區,Ee,
No.11,2018-01-07 12:31:56,臺中市,南屯區,"Angeles ",
No.12,2018-01-07 19:50:01,臺南市,東區,天天,
No.13,2018-01-08 11:44:25,臺南市,善化區,熊寶貝,港澳居民取得台灣身分證還是一樣用大陸核發的港澳回鄉證去大陸，不能讓雙面人繼續享盡好處！
No.14,2018-01-08 12:51:59,臺中市,大里區,寶哥,
No.15,2018-01-08 14:42:09,基隆市,中山區,劉羊羊,
No.16,2018-01-08 19:43:42,臺北市,文山區,samuelchen159,
No.17,2018-01-08 21:26:07,雲林縣,褒忠鄉,支持,
No.18,2018-01-14 11:43:04,新北市,八里區,太陽,支持
No.19,2018-01-14 11:49:56,基隆市,安樂區,墮落的天使,
No.20,2018-01-14 11:56:06,苗栗縣,三義鄉,洲際,
No.21,2018-01-15 09:49:46,高雄市,前鎮區,發哥,
No.22,2018-01-15 14:24:47,基隆市,中山區,廚房,全力相挺
No.23,2018-01-15 14:30:41,澎湖縣,西嶼鄉,蘋果,
No.24,2018-01-15 14:36:11,新北市,瑞芳區,Oreo,
No.25,2018-01-15 14:44:28,金門縣,金沙鎮,烏龍麵,
No.26,2018-01-15 16:03:19,臺南市,東區,Jager,我覆議，其他國家亦同!
No.27,2018-01-16 19:32:32,新北市,三重區,台灣人不是中國人,
No.28,2018-01-22 15:52:09,高雄市,楠梓區,臥龍,

