"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-21 13:22:25,臺北市,大同區,黑魯,
No.2,2018-03-23 08:43:25,臺中市,南屯區,李,
No.3,2018-03-24 08:32:09,高雄市,鼓山區,Anya,
No.4,2018-03-24 21:07:47,金門縣,金寧鄉,支持,
No.5,2018-03-26 16:50:18,新北市,中和區,高小鬼,
No.6,2018-03-27 16:41:11,雲林縣,斗六市,77,
No.7,2018-03-28 18:24:58,新北市,汐止區,鴿子吹喇叭,
No.8,2018-03-28 23:37:03,高雄市,小港區,Sherry,
No.9,2018-03-29 09:26:21,臺南市,東區,"Alan ",
No.10,2018-03-29 09:50:24,桃園市,平鎮區,Cattie,
No.11,2018-03-29 10:15:38,新北市,五股區,10,
No.12,2018-03-29 10:16:51,新竹市,北區,A,
No.13,2018-03-29 15:42:47,臺南市,北區,fifiyaya,
No.14,2018-03-30 16:32:58,臺中市,梧棲區,Jason,
No.15,2018-03-30 20:36:36,高雄市,前鎮區,咖啡,
No.16,2018-03-30 21:58:39,新北市,永和區,Mavis,
No.17,2018-03-30 23:30:21,臺北市,中山區,Jean,
No.18,2018-04-01 17:14:51,臺北市,信義區,皇龍,
No.19,2018-04-23 12:05:56,臺中市,大里區,Sean,"寵物必須直接到繁殖場購賣，一般的寵物店的寵物都是挑選過整理過的，購買者看到的是美化過的假象，看不到繁殖場惡劣的環境，
如果寵物店不能賣，但可以仲介合法繁殖場，讓購買者直接接觸繁殖業者，則可以減少黑心繁殖場與改善繁殖環境，並且減少中間商剝削。另外因為增加了購買難度亦可以減少棄養及增加認養意願。
再來還可以方便行政管理，例如轉手前必須完成疫苗結紮晶片等等。"
No.20,2018-05-02 20:32:24,花蓮縣,花蓮市,Kristine,

