"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-02-15 00:44:17,臺北市,萬華區,Ssj,
No.2,2018-02-15 05:48:40,臺中市,南屯區,JERRY,
No.3,2018-02-15 13:59:39,高雄市,小港區,小芸芸,直接死太輕鬆了，建議死之前要先服勞役(時間就從被判死刑隔一週開始直到執行處死的前一週)，那個勞役就是要幫曾服毒品的人回歸社會。
No.4,2018-02-15 19:11:57,臺中市,霧峰區,夜凱,
No.5,2018-02-16 15:47:55,彰化縣,伸港鄉,養樂多好苦,"相信我，就算這提案通過，也會被鳥政府以現今社會不符合人權價值給打槍，
台灣早晚會被毒品，詐騙害死"
No.6,2018-02-16 19:38:51,屏東縣,屏東市,小陳,別再認為毒品人口可治療，他們已經無可救藥，建議給一次機會，第二次直接死刑
No.7,2018-02-16 21:15:48,桃園市,平鎮區,阿德,
No.8,2018-02-17 02:50:57,彰化縣,彰化市,揚揚,
No.9,2018-02-17 14:47:30,高雄市,岡山區,阿賢,贊成
No.10,2018-02-17 18:51:34,花蓮縣,吉安鄉,月餅,
No.11,2018-02-18 04:45:32,臺中市,南區,洛溔,
No.12,2018-02-18 16:50:49,嘉義市,西區,林仁賢,
No.13,2018-02-19 01:35:29,高雄市,左營區,"Delphin ",
No.14,2018-02-19 10:16:48,苗栗縣,頭份市,Poincare,
No.15,2018-02-19 12:11:32,新北市,板橋區,好了,
No.16,2018-02-19 16:56:36,新北市,鶯歌區,阿貝巴爹,
No.17,2018-02-19 20:24:00,雲林縣,斗六市,"Lloyd ",我覺得可以
No.18,2018-02-19 21:31:35,屏東縣,屏東市,1234,
No.19,2018-02-19 23:43:24,臺南市,北區,林偉,"支持本國人製毒、販毒、運毒唯一死刑，讚攢讚。

不能死刑就用鞭刑。"
No.20,2018-02-20 17:42:52,高雄市,楠梓區,zephoenixro,
No.21,2018-02-20 20:24:58,高雄市,三民區,柯柯,
No.22,2018-02-21 00:31:35,臺中市,北屯區,麥尙傑,
No.23,2018-02-21 09:26:04,新北市,三峽區,JACK,
No.24,2018-02-21 13:48:28,臺北市,松山區,吸毒活該,
No.25,2018-02-21 14:44:49,桃園市,平鎮區,panay,
No.26,2018-02-21 21:19:00,新北市,三峽區,akina,
No.27,2018-02-21 21:48:04,桃園市,龍潭區,sam,
No.28,2018-02-21 21:51:43,臺中市,南區,ㄚ天,贊成唯一死刑
No.29,2018-02-22 17:30:01,新北市,樹林區,Kent,
No.30,2018-02-22 23:05:57,屏東縣,屏東市,pandy,

