"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-03-22 11:33:40,桃園市,新屋區,派克,
No.2,2018-03-23 22:22:35,桃園市,桃園區,桂桂,名符其實
No.3,2018-03-24 08:18:20,高雄市,鼓山區,Anya,
No.4,2018-03-24 09:19:38,高雄市,仁武區,X,
No.5,2018-03-25 06:34:51,臺北市,大安區,fanma,因為台灣是我的國家，當然用台灣郵政。
No.6,2018-03-25 12:27:37,花蓮縣,秀林鄉,Chengen,支持 台灣郵政！
No.7,2018-03-25 14:42:23,臺中市,北區,台中金城武樹,
No.8,2018-03-25 23:33:45,新北市,永和區,阿良,早該改成台灣郵政
No.9,2018-03-26 11:46:40,臺北市,大安區,紀行,轉型正義，去除遺毒
No.10,2018-03-26 18:50:40,高雄市,鳳山區,Scort,我跟國外友人通信、寄包裹給國外親友地址從來也只寫Taiwan啊，有什麼問題？
No.11,2018-03-26 21:49:29,新北市,三重區,playgamenow,
No.12,2018-03-27 16:35:04,雲林縣,斗六市,77,
No.13,2018-03-29 10:17:31,新竹市,北區,P,
No.14,2018-04-01 06:35:27,屏東縣,萬丹鄉,柚235,
No.15,2018-04-02 14:31:23,臺中市,神岡區,saki,
No.16,2018-04-02 22:48:01,新北市,永和區,Xelloss,
No.17,2018-04-03 23:48:44,新竹市,東區,K,避免國際誤解為中國郵政。
No.18,2018-04-05 22:28:58,彰化縣,員林鎮,林家薪,
No.19,2018-04-07 22:49:41,彰化縣,秀水鄉,Edward,
No.20,2018-04-17 15:14:00,臺北市,大安區,vincentdylan17,

