"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-26 09:32:55,臺中市,大里區,阿凱,
No.2,2017-09-26 17:11:39,嘉義市,西區,丿十二,支持
No.3,2017-09-26 20:51:27,臺南市,安南區,云,
No.4,2017-09-27 07:43:22,桃園市,中壢區,明俊,
No.5,2017-09-27 08:46:32,高雄市,新興區,123,杜絕三寶
No.6,2017-09-27 09:22:32,桃園市,中壢區,joel,
No.7,2017-09-27 09:26:47,臺北市,內湖區,仆洛宅,
No.8,2017-09-27 09:34:41,高雄市,三民區,Mark tai,
No.9,2017-09-27 09:36:29,臺中市,豐原區,Ken,
No.10,2017-09-27 10:48:16,新北市,中和區,小穎,
No.11,2017-09-27 12:01:17,新竹縣,竹東鎮,forever,
No.12,2017-09-27 17:47:09,新北市,蘆洲區,520,
No.13,2017-09-27 18:43:22,新北市,金山區,落晰,
No.14,2017-09-27 18:46:56,新北市,三重區,sasa,
No.15,2017-09-27 19:18:58,高雄市,楠梓區,喔喔,
No.16,2017-09-27 22:11:12,臺中市,龍井區,Kyle,可能需要一點級距。比如65以上每3-5年換一次，70歲以上每兩年....其餘身心有狀況者另訂。畢竟平均壽命越來越長，健康狀況也沒那麼早出問題，若是過於頻繁恐怕也是浪費資源造成民眾不便
No.17,2017-09-28 09:42:50,新北市,永和區,闇之翎,"覺得身體狀況 or 精神狀態不佳者, 本就不應該上路

政府應重視並定期檢視"
No.18,2017-09-28 21:23:23,彰化縣,福興鄉,宸睿,
No.19,2017-09-29 16:50:52,基隆市,仁愛區,MaInJoJo,
No.20,2017-09-29 23:00:40,彰化縣,彰化市,雨中的雨小姐,"非常同意您的看法 65歲以上老人因他們那個年代交通不像現在複雜 當時考照的內容跟現在也有落差
比如左右轉變換車道未打方向燈、沒有依照兩段式左轉直接左轉而造成車禍等都是常常發生在生活周邊的案子
雖然不能完全避免老年人的一些危險行為
但依然能帶來改善
為了自家老人的安全也為了別人的安全
這是很好的提議"
No.21,2017-09-30 16:17:08,臺北市,中正區,Moa,
No.22,2017-10-01 09:45:48,高雄市,楠梓區,"Jonathan ",
No.23,2017-10-01 19:44:38,臺北市,萬華區,ten,
No.24,2017-10-02 07:12:46,臺北市,萬華區,allen,
No.25,2017-10-02 11:04:29,臺中市,大雅區,向,
No.26,2017-10-03 19:20:34,臺北市,大安區,Charming,
No.27,2017-10-04 02:14:06,新北市,板橋區,Karidasp,
No.28,2017-10-04 02:57:33,桃園市,楊梅區,暱稱五個字,
No.29,2017-10-08 00:53:11,高雄市,小港區,洪茶壺,
No.30,2017-10-08 19:27:25,高雄市,前鎮區,加鹽咖啡,
No.31,2017-10-09 15:13:12,屏東縣,滿州鄉,花,
No.32,2017-10-10 21:38:08,澎湖縣,馬公市,林小姐,
No.33,2017-10-10 23:40:08,新北市,新莊區,Kiki,每2-3年健康檢查後更換
No.34,2017-10-14 05:39:01,彰化縣,埔心鄉,好吃,
No.35,2017-10-15 12:59:13,苗栗縣,竹南鎮,LADAKHSTONE,
No.36,2017-10-15 13:47:10,臺中市,北屯區,Siang,贊成！
No.37,2017-10-18 20:45:14,新北市,淡水區,Y.F.,
No.38,2017-10-19 14:18:31,花蓮縣,吉安鄉,"JEN ",
No.39,2017-10-20 11:23:42,新北市,五股區,ゆき,現在老人家們幾乎都不遵守交通規則
No.40,2017-10-20 11:56:59,新北市,永和區,光頭,
No.41,2017-10-20 13:28:19,臺北市,士林區,Polly,
No.42,2017-10-20 14:03:14,高雄市,橋頭區,閃亮亮,
