"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-12 06:05:12,臺南市,東區,"JamieChen ",
No.2,2017-12-12 08:21:34,臺北市,中山區,米,
No.3,2017-12-12 10:08:35,新北市,土城區,阿大,
No.4,2017-12-12 11:48:11,高雄市,鳥松區,AVEN,
No.5,2017-12-12 12:14:34,臺東縣,臺東市,祥,
No.6,2017-12-12 16:47:02,屏東縣,恆春鎮,小呆,對於推廣電動車也是一個助力
No.7,2017-12-12 19:28:32,桃園市,蘆竹區,1722,非常好的提案，呼應政府降低空污的作法
No.8,2017-12-12 21:17:19,嘉義市,東區,QQ,
No.9,2017-12-13 00:42:40,臺中市,清水區,阿發,
No.10,2017-12-13 03:14:22,臺中市,烏日區,Rock,使用者付費的觀念，用多就付多比較公平。
No.11,2017-12-13 07:25:18,新北市,新店區,Jack,
No.12,2017-12-13 08:34:22,新北市,新莊區,fufuchu,
No.13,2017-12-13 09:36:58,臺南市,新化區,蟬,
No.14,2017-12-13 10:44:05,新竹市,北區,豆啦,"取消燃料稅級距制，改以車輛排污量課稅, 贊成！！"
No.15,2017-12-13 17:55:01,苗栗縣,公館鄉,Cathy,藉由改以車輛排污量來制定課稅多寡，與自身緊緊相關，望可大力減少空污狀況以及提升國人對於環境保護的意識。支持本提案！
No.16,2017-12-13 18:54:30,臺北市,松山區,cmc-ssc,
No.17,2017-12-13 23:42:36,臺南市,中西區,黑卒仔,
No.18,2017-12-14 00:09:08,臺北市,文山區,筱咿,
No.19,2017-12-14 00:41:18,南投縣,鹿谷鄉,jacky,
No.20,2017-12-14 04:37:55,彰化縣,和美鎮,郭大爺,路上都會有排放廢氣的汽機車，驗車也不知道怎麼驗過的？驗車相關單位也是隨隨便便，有錢賺就好了
No.21,2017-12-15 00:44:30,新北市,板橋區,Tony,
No.22,2017-12-15 10:04:10,新北市,板橋區,CH,
No.23,2017-12-15 10:22:37,臺北市,南港區,鼎豐,請政府跟上世界腳步！
No.24,2017-12-15 10:24:43,新北市,蘆洲區,粘董,
No.25,2017-12-15 19:56:17,臺中市,南區,mayeve,以排氣量為級距課稅是我國的獨特政策，應參考國外作法取消此政策，與時俱進。
No.26,2017-12-15 20:01:53,新竹縣,竹東鎮,Blue,
No.27,2017-12-15 23:46:40,高雄市,鹽埕區,Vincent,
No.28,2017-12-16 16:00:46,宜蘭縣,羅東鎮,ighslin,
No.29,2017-12-17 22:48:04,高雄市,三民區,茱莉,
No.30,2017-12-18 01:30:10,新北市,泰山區,wolf,
No.31,2017-12-18 10:40:27,桃園市,八德區,Jason,
No.32,2017-12-20 11:11:53,基隆市,七堵區,chiaheng,
No.33,2017-12-21 09:22:24,桃園市,平鎮區,Tung,
No.34,2017-12-21 10:36:15,臺北市,大安區,Jeff,
No.35,2017-12-21 21:29:26,臺南市,善化區,紅豬,

