"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-01 16:14:33,臺北市,大安區,Anderson W,
No.2,2017-12-02 08:39:30,臺中市,大里區,andyshu,
No.3,2017-12-02 23:08:41,桃園市,桃園區,雷克斯,我覺得這樣不妥，會冤報。
No.4,2017-12-04 07:50:30,臺北市,萬華區,allen,
No.5,2017-12-04 08:39:53,臺中市,南區,"老查理 ",確保每一位國民 外出行的安全 包含開車與搭車 不應該為了不守規矩的駕駛人 斷送生命財產安全
No.6,2017-12-04 15:36:34,臺北市,信義區,頁乘,
No.7,2017-12-04 19:24:02,新北市,土城區,Zeref,
No.8,2017-12-04 21:37:20,新北市,三重區,playgamenow,
No.9,2017-12-05 12:18:10,臺南市,安南區,egz,
No.10,2017-12-06 14:05:41,桃園市,中壢區,007,贊成，並希望大幅增加路口監視器數量跟大幅提高畫質，現在監視器畫質太差了
No.11,2017-12-07 10:56:59,臺北市,松山區,柯男,
No.12,2017-12-07 20:46:24,高雄市,左營區,UnciaX,
No.13,2017-12-11 09:29:28,新北市,永和區,D.C.,
No.14,2017-12-11 13:28:32,新北市,新店區,may ray,
No.15,2017-12-12 12:13:48,桃園市,桃園區,Leo,
No.16,2017-12-15 07:01:47,嘉義市,東區,"Maggie ",
No.17,2017-12-26 18:41:03,高雄市,左營區,rilakkuma,
No.18,2018-01-24 12:22:05,臺中市,北屯區,pi,

