"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-09-09 20:20:22,臺北市,中正區,Yeam,
No.2,2017-09-10 11:55:26,臺北市,中山區,MadB101,"台灣地區地質活動豐富
尤其是龜山 大屯兩地地熱資源豐富
應該善加利用
實現綠能發電 帶動相關產業"
No.3,2017-09-10 12:22:22,新北市,中和區,yuanzero,
No.4,2017-09-10 20:34:02,新竹縣,關西鎮,石頭,
No.5,2017-09-11 13:09:29,新北市,三重區,胖虎,
No.6,2017-09-14 19:50:00,臺北市,萬華區,Syl,實在不解政府為何不走向地熱能源，一直在吵核能火力太陽能，變成政黨與利益共同體之爭了嗎？
No.7,2017-09-25 09:59:34,苗栗縣,竹南鎮,LADAKHSTONE,
No.8,2017-09-27 10:25:17,臺北市,大同區,Thomas,
No.9,2017-10-18 21:33:10,嘉義市,東區,Sundancekid,
No.10,2017-10-19 12:08:06,臺北市,大安區,Wei,
No.11,2017-10-19 13:13:50,臺北市,內湖區,自由心,
No.12,2017-10-22 17:48:47,高雄市,鳳山區,Leon,
No.13,2017-10-22 20:59:59,臺北市,萬華區,SOSOBOY,
No.14,2017-10-23 15:18:44,臺北市,南港區,朗,
No.15,2017-10-24 22:30:39,屏東縣,萬巒鄉,魯國國相,
No.16,2017-10-25 02:18:26,花蓮縣,花蓮市,Cheng,
No.17,2017-10-27 10:38:39,臺東縣,臺東市,Nerlane,支持
No.18,2017-10-27 21:36:15,臺北市,北投區,台灣共和國,台灣共和國 地熱發電
