"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 21:56:45,彰化縣,彰化市,"Aki ",
No.2,2017-12-10 10:44:29,臺東縣,臺東市,YaYa,贊成
No.3,2017-12-11 19:04:28,新北市,永和區,發,"馬路三寶過於危險

高齡人士對於平常大小事已無當時判斷力
反應也沒低於一般人"
No.4,2017-12-12 12:14:07,臺南市,新營區,wow,
No.5,2017-12-12 21:46:51,嘉義市,東區,臺灣,
No.6,2017-12-12 23:03:03,新北市,三重區,playgamenow,
No.7,2017-12-13 08:57:46,臺北市,北投區,小婕,
No.8,2017-12-13 09:14:51,新北市,淡水區,CAT Q,
No.9,2017-12-13 12:18:26,臺中市,北區,LILYＣ,
No.10,2017-12-15 13:10:48,新竹市,北區,1/2,未來自動架時還要考駕照嗎.
No.11,2017-12-16 17:05:08,基隆市,中山區,呆,
No.12,2017-12-25 10:51:10,臺北市,文山區,未來三寶候選人,
No.13,2017-12-27 13:41:06,新北市,新店區,小八,
No.14,2018-01-09 12:48:43,臺北市,大安區,胖胖棒,保障大眾權益
No.15,2018-01-26 09:42:16,臺北市,中正區,小鍾,

