"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-05-21 07:31:46,臺北市,松山區,Stone,我完全不懂交通法規，雖然認識某個檢舉達人但不熟，自己沒檢舉過違規停車，我沒有車，其實我看不懂這個提案，但是不知道為什麼我被說服了。
No.2,2018-05-23 08:03:31,新北市,新店區,蒼,阻止檢舉歪風，端正善良風氣
No.3,2018-05-23 16:01:03,臺北市,文山區,阿傑,應該多設一些記次收費的停車格，畢竟沒有人願意違規停車，夜間9點到隔天早上7點建議開放部分道路停車
No.4,2018-05-23 17:57:46,臺北市,中正區,李艾迪,
No.5,2018-05-23 19:14:30,臺南市,安平區,楓羽毛,
No.6,2018-05-23 19:20:43,新北市,新店區,如如,反對檢舉歪風
No.7,2018-05-24 17:01:11,新北市,蘆洲區,M先生,員警執法當下會了解原因而決定是否開罰，民眾自行檢舉有失正義人情通融
No.8,2018-05-25 16:15:23,臺中市,西區,DL,
No.9,2018-05-26 09:53:42,臺北市,中山區,信,

