"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-01-10 00:38:20,新北市,新莊區,午夜天,修法方向錯誤~有錢人都不繳稅的!但是支持你
No.2,2018-01-10 08:28:12,臺南市,安南區,蕭弟,
No.3,2018-01-10 12:41:49,新北市,三重區,SeanKao,支持加重酒駕罪責 但希望是用強制坐牢的方式 有錢人才真的會怕吧
No.4,2018-01-10 14:36:24,桃園市,平鎮區,abjade,
No.5,2018-01-10 15:18:50,基隆市,信義區,apowerbase,
No.6,2018-01-10 21:14:43,新北市,鶯歌區,monco,
No.7,2018-01-10 22:12:18,臺北市,文山區,samuelchen159,
No.8,2018-01-11 18:56:56,臺南市,東區,洪,
No.9,2018-01-12 02:12:55,高雄市,楠梓區,zephoenixro,
No.10,2018-01-12 09:44:09,臺南市,白河區,阿力,順便加重酒稅，臺灣的酒稅課太輕了。應在加重百分50以上
No.11,2018-01-12 11:15:19,新竹市,東區,alan,
No.12,2018-01-12 11:19:57,臺北市,信義區,DT,
No.13,2018-01-12 17:46:54,基隆市,七堵區,拉拉,
No.14,2018-01-12 23:36:01,臺中市,潭子區,Hank,
No.15,2018-01-13 14:33:44,新竹縣,竹東鎮,Kent,
No.16,2018-01-13 20:15:01,新北市,林口區,terry2535,
No.17,2018-01-14 17:19:12,屏東縣,屏東市,餅乾,每天都有1-2位酒駕案例，查獲酒駕儘管低於法規標準就要上課條例或罰緩，以利加重為原則。酒駕撞死人可依據法條來規定嚴判罰金或處1-5年以上或比照國外的酒駕條例來修法。
No.18,2018-01-14 19:17:17,桃園市,中壢區,Smile,
No.19,2018-01-15 01:03:41,新北市,泰山區,"Wolf ",
No.20,2018-01-15 01:08:51,新北市,新店區,微風,
No.21,2018-01-15 02:56:16,苗栗縣,竹南鎮,ihome,
No.22,2018-01-15 08:49:02,新北市,板橋區,Devin,
No.23,2018-01-15 09:44:40,新北市,樹林區,u2194739,
No.24,2018-01-15 10:52:03,新北市,板橋區,YEN,
No.25,2018-01-15 11:24:10,高雄市,三民區,Rita,
No.26,2018-01-15 13:15:36,新竹縣,竹北市,evaho54,
No.27,2018-01-15 14:35:38,新北市,新莊區,kizema104,
No.28,2018-01-15 15:44:58,臺南市,安南區,"Ruby Q ",支持提議，現行罰則無法嚇阻酒駕累犯
No.29,2018-01-15 16:18:31,苗栗縣,苗栗市,阿洪,罰款與牢獄並行，罰款有錢人根本罰不怕
No.30,2018-01-15 19:31:35,新北市,三重區,playgamenow,
No.31,2018-01-15 21:29:59,臺中市,南區,王,
No.32,2018-01-16 09:22:04,高雄市,大寮區,Noba yang,
No.33,2018-01-16 12:30:18,桃園市,八德區,Jason,
No.34,2018-01-16 12:54:13,臺北市,大安區,sylvie,
No.35,2018-01-16 13:43:22,臺南市,永康區,阿宅,
No.36,2018-01-16 20:44:40,臺中市,西屯區,阿國,
No.37,2018-01-17 17:40:38,桃園市,龜山區,偉,
No.38,2018-01-17 22:31:03,高雄市,三民區,雅雯,
No.39,2018-01-18 10:08:29,臺中市,東區,Edgar,
No.40,2018-01-18 11:19:37,桃園市,平鎮區,錯了就要改,
No.41,2018-01-18 18:57:48,高雄市,左營區,boyao,
No.42,2018-01-18 19:14:13,桃園市,中壢區,胖糖,
No.43,2018-01-18 22:02:31,桃園市,桃園區,Susu,
No.44,2018-01-20 02:49:01,臺北市,中正區,許蕭潔,
No.45,2018-01-20 12:26:17,高雄市,小港區,英雄願望君,
No.46,2018-01-20 15:01:14,新北市,三重區,Vagabond,
No.47,2018-01-21 01:02:00,臺北市,信義區,Selina,
No.48,2018-01-22 20:49:27,臺南市,七股區,陳正勝,
No.49,2018-01-23 10:32:54,臺南市,安南區,Antony,
No.50,2018-01-24 11:55:09,高雄市,鳳山區,香草,
No.51,2018-01-24 23:50:32,臺中市,龍井區,呵呵,
No.52,2018-01-26 17:48:29,新北市,永和區,SY,
No.53,2018-01-27 20:31:20,新北市,淡水區,佳,
No.54,2018-01-27 21:13:30,臺中市,龍井區,SJ,
No.55,2018-01-27 21:13:48,高雄市,鳳山區,蓉妹,
No.56,2018-01-29 00:11:53,苗栗縣,大湖鄉,朕已閱,
No.57,2018-01-31 17:17:06,桃園市,楊梅區,太菲,
No.58,2018-01-31 21:58:26,臺中市,中區,kk,
No.59,2018-02-03 07:45:14,臺北市,萬華區,AIR,愛錢的政府沒理由反對像北歐一樣提高罰款吧？
No.60,2018-02-05 08:53:09,桃園市,平鎮區,はる,
No.61,2018-02-06 12:16:37,高雄市,梓官區,koki,
No.62,2018-02-06 18:08:29,臺北市,信義區,joyliang,
No.63,2018-02-06 23:03:37,澎湖縣,馬公市,紘,
No.64,2018-02-07 08:51:53,臺中市,南區,王,
No.65,2018-02-21 14:51:14,新北市,汐止區,John,

