"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 13:11:56,新北市,樹林區,CCM,支持退休長者義務教務，活化校園空間。
No.2,2017-12-08 15:39:27,桃園市,桃園區,小偉,"老人在家就是沒事***，可能犯罪喔！

活到老學到老，老師還是不能體罰啦，體育課要小心！健保室可能要蓋一棟還要提供住院服務喔"
No.3,2017-12-08 15:40:24,臺北市,文山區,木柵金城武,"終身教育，活到老學到老，是孔子大教育家4000年前就提出的點子。
雖然可能年紀大了，體育課測1600會跑不動，但這只是一部份的問題而已。
要維護我大中華5000年傳統，終身國民教育，勢在必得。"
No.4,2017-12-08 15:45:44,新竹縣,芎林鄉,小俱利我老公,我覺得可以 因為老人可能需要重新學習一些事情 像是科技或烹飪或其他生活技能 他們才可以獨立生活
No.5,2017-12-08 16:24:57,臺北市,松山區,"GINA ","很棒的想法, 早應該要做的."
No.6,2017-12-08 16:34:55,臺北市,士林區,Lili,
No.7,2017-12-08 16:59:12,新北市,蘆洲區,grace,
No.8,2017-12-08 17:05:56,桃園市,中壢區,rita,
No.9,2017-12-08 17:59:03,臺北市,大同區,水春,"很棒的再教育,提升國民水平"
No.10,2017-12-08 21:43:24,新北市,板橋區,Betty,確實應該重視問題，提早規劃，避免憾事不斷發生
No.11,2017-12-08 22:17:02,新北市,板橋區,johnny.lin,
No.12,2017-12-08 22:35:05,臺北市,內湖區,allen510636,
No.13,2017-12-09 01:33:19,高雄市,小港區,阿杰,讓老人老有所用，證明自己的價值，很棒
No.14,2017-12-09 15:25:33,新北市,三峽區,akina,
No.15,2017-12-09 16:46:48,臺南市,麻豆區,JJ,
No.16,2017-12-10 23:24:29,桃園市,八德區,榮,
No.17,2017-12-11 12:51:00,新北市,新店區,may ray,
No.18,2017-12-11 13:08:05,臺南市,東區,lib,

