"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-20 06:32:01,臺南市,永康區,孫,支持
No.2,2017-12-20 07:55:24,新北市,淡水區,鴨鴨,
No.3,2017-12-20 09:46:17,高雄市,鳳山區,Evan,
No.4,2017-12-20 11:08:25,基隆市,七堵區,CHIAHENG,
No.5,2017-12-20 11:51:21,臺中市,西區,小花,
No.6,2017-12-20 13:21:02,新北市,中和區,betty,一起讓社會變得更好
No.7,2017-12-20 17:33:55,新北市,蘆洲區,麥朵,如同房屋一樣，購買二手車主應有知道該車曾經有無發生重大傷害的權力，以保障自己購車的安全。
No.8,2017-12-20 19:43:59,彰化縣,鹿港鎮,Yo-Ping,
No.9,2017-12-20 22:34:49,新北市,汐止區,sheep,
No.10,2017-12-20 23:44:53,基隆市,中正區,小爆,
No.11,2017-12-21 14:33:36,臺東縣,大武鄉,A,
No.12,2017-12-21 16:28:11,嘉義市,東區,eshihao,
No.13,2017-12-22 13:55:43,新竹縣,竹北市,大頭,
No.14,2017-12-22 21:05:43,新竹市,東區,老百姓,"過往在哪裡修理保養, 在哪裡驗車, 都要詳實列出."
No.15,2017-12-23 09:09:52,高雄市,路竹區,拉美西斯,
No.16,2017-12-26 16:49:42,高雄市,楠梓區,zephoenixro,
No.17,2017-12-27 15:34:17,新北市,新莊區,買到二手就飽了,
No.18,2017-12-27 17:17:24,臺南市,西港區,洪,
No.19,2017-12-27 23:04:50,新北市,中和區,Hanhan,
No.20,2018-01-07 03:01:43,高雄市,前鎮區,墨狐,

