"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-08 08:46:32,新北市,汐止區,王小花,
No.2,2017-12-08 10:57:44,彰化縣,二林鎮,teresa,
No.3,2017-12-08 11:53:53,臺北市,文山區,ducklynn,
No.4,2017-12-08 16:26:35,高雄市,苓雅區,actual,非常贊同，明明就有任職事實，應該要合併計算。
No.5,2017-12-08 23:11:42,臺南市,學甲區,news,
No.6,2017-12-10 00:10:38,臺北市,大安區,Steven,
No.7,2017-12-10 22:02:29,臺北市,萬華區,asheng,
No.8,2017-12-10 22:03:16,高雄市,鹽埕區,炫,
No.9,2017-12-10 22:04:59,臺中市,太平區,"com ",
No.10,2017-12-10 22:05:47,彰化縣,埔鹽鄉,阿摳,
No.11,2017-12-10 22:06:02,新北市,新莊區,桃桃,支持
No.12,2017-12-10 22:06:23,新北市,石門區,Alan Q,支持要修法
No.13,2017-12-10 22:15:58,彰化縣,芬園鄉,Haha,
No.14,2017-12-10 22:18:37,臺北市,士林區,Jessica,
No.15,2017-12-10 22:20:06,新竹市,北區,布萊恩,
No.16,2017-12-10 22:22:14,新竹縣,湖口鄉,胖哥,
No.17,2017-12-10 22:28:47,新北市,淡水區,Dynein,
No.18,2017-12-10 22:42:45,桃園市,大園區,"Dennis07 ",
No.19,2017-12-10 22:42:53,高雄市,茄萣區,小玉,
No.20,2017-12-10 22:43:01,基隆市,中正區,小任,支持
No.21,2017-12-10 22:44:05,桃園市,桃園區,噗哈,
No.22,2017-12-10 22:47:17,桃園市,桃園區,Stephen Curry,
No.23,2017-12-10 22:49:24,臺中市,霧峰區,舜,符合比例原則
No.24,2017-12-10 22:52:56,臺中市,大里區,Cwh,
No.25,2017-12-10 22:59:12,新竹縣,寶山鄉,+1,
No.26,2017-12-10 23:15:40,臺中市,東區,阿偉,支持
No.27,2017-12-10 23:18:06,臺北市,中山區,陳爾東,
No.28,2017-12-10 23:20:59,臺中市,大肚區,Polaris,
No.29,2017-12-10 23:24:45,臺中市,南區,Tottie,
No.30,2017-12-10 23:26:24,桃園市,大園區,小囿,附議
No.31,2017-12-10 23:31:33,桃園市,桃園區,慈慈,贊成
No.32,2017-12-10 23:36:05,高雄市,茂林區,吉掰,
No.33,2017-12-10 23:36:26,高雄市,鳳山區,Shawn,
No.34,2017-12-10 23:38:01,新竹市,東區,Jackielon,
No.35,2017-12-10 23:42:39,臺南市,安南區,王麗,
No.36,2017-12-10 23:55:37,嘉義市,東區,小金,
No.37,2017-12-10 23:57:11,臺中市,沙鹿區,jhen,
No.38,2017-12-11 00:00:04,新北市,板橋區,小米,
No.39,2017-12-11 00:04:27,臺北市,萬華區,Hsu,
No.40,2017-12-11 00:11:08,臺中市,大里區,小龍,
No.41,2017-12-11 00:16:03,臺北市,信義區,kiwipen,
No.42,2017-12-11 00:21:44,新北市,五股區,Ray,
No.43,2017-12-11 00:25:07,臺南市,南區,吳銘,
No.44,2017-12-11 00:27:23,臺中市,北區,帥ㄍ,
No.45,2017-12-11 00:27:57,彰化縣,花壇鄉,peace,
No.46,2017-12-11 00:38:04,桃園市,大園區,Joey,惡法就該修法
No.47,2017-12-11 00:42:22,臺南市,南區,roy,
No.48,2017-12-11 00:42:36,嘉義縣,民雄鄉,Jay,規則修改需要送立法院嗎？
No.49,2017-12-11 00:51:28,臺北市,士林區,chua,
No.50,2017-12-11 01:05:31,臺北市,大安區,小翼,
No.51,2017-12-11 03:20:45,桃園市,桃園區,陽光普照,
No.52,2017-12-11 05:45:36,臺中市,北屯區,122,
No.53,2017-12-11 07:31:11,高雄市,苓雅區,奶茶,
No.54,2017-12-11 07:34:34,新北市,泰山區,人,
No.55,2017-12-11 07:53:45,高雄市,鼓山區,小廖,
No.56,2017-12-11 07:53:51,基隆市,七堵區,xyp,
No.57,2017-12-11 07:54:50,桃園市,平鎮區,斑馬,
No.58,2017-12-11 07:55:23,臺中市,南區,涵,
No.59,2017-12-11 08:21:47,基隆市,暖暖區,ff,
No.60,2017-12-11 08:33:01,新竹縣,竹北市,大畬,附議
No.61,2017-12-11 08:33:13,嘉義縣,中埔鄉,小人物,支持合理化請假規定
No.62,2017-12-11 08:45:19,新北市,三重區,阿祥,支持正確的修法
No.63,2017-12-11 09:14:32,新北市,淡水區,Joe,
No.64,2017-12-11 09:52:42,桃園市,新屋區,@):- daphne,
No.65,2017-12-11 09:52:45,臺南市,東區,MULL,
No.66,2017-12-11 09:57:41,新北市,土城區,Pig,
No.67,2017-12-11 09:58:07,臺北市,南港區,Dofo,
No.68,2017-12-11 10:14:30,嘉義縣,太保市,lashasha,
No.69,2017-12-11 10:27:12,新北市,板橋區,西瓜,
No.70,2017-12-11 11:10:18,臺南市,新市區,maruko,支持!
No.71,2017-12-11 11:12:56,新北市,板橋區,莫名,
No.72,2017-12-11 11:25:02,臺北市,南港區,公民,
No.73,2017-12-11 11:32:08,桃園市,龍潭區,sara,
No.74,2017-12-11 11:42:59,臺北市,大同區,老手機,
No.75,2017-12-11 12:04:08,宜蘭縣,員山鄉,Tony,
No.76,2017-12-11 12:14:51,臺中市,西屯區,Jack,
No.77,2017-12-11 12:24:23,桃園市,楊梅區,蘇小姐,無
No.78,2017-12-11 12:39:50,臺南市,新營區,阿歐,
No.79,2017-12-11 12:40:48,臺中市,大里區,杉畝,
No.80,2017-12-11 12:48:56,屏東縣,屏東市,阿屁,
No.81,2017-12-11 12:49:57,新北市,新店區,may ray,
No.82,2017-12-11 13:20:06,新北市,新店區,安,
No.83,2017-12-11 14:09:10,臺南市,南區,木木,
No.84,2017-12-11 14:26:09,高雄市,楠梓區,sabertoka,
No.85,2017-12-11 14:56:23,彰化縣,芬園鄉,阿修,
No.86,2017-12-11 15:15:56,桃園市,平鎮區,Denny,
No.87,2017-12-11 15:18:01,新北市,淡水區,YUSGU,
No.88,2017-12-11 16:02:55,基隆市,安樂區,Chris,
No.89,2017-12-11 16:40:16,新北市,永和區,otakuman,
No.90,2017-12-11 16:51:59,新竹縣,竹北市,lily,
No.91,2017-12-11 18:14:31,臺北市,內湖區,Clog,
No.92,2017-12-11 18:25:36,臺中市,大里區,阿函,
No.93,2017-12-11 18:31:27,嘉義縣,民雄鄉,胖妹,
No.94,2017-12-11 18:43:52,臺中市,大里區,阿如,
No.95,2017-12-11 20:19:48,高雄市,鳳山區,Randy,
No.96,2017-12-11 21:04:02,臺南市,東區,chi,
No.97,2017-12-11 22:44:21,高雄市,楠梓區,Lin,
No.98,2017-12-12 11:01:40,高雄市,大樹區,Steven,
No.99,2017-12-12 11:07:48,彰化縣,彰化市,阿宗,
No.100,2017-12-12 12:47:33,高雄市,鳳山區,"Griswold ",
No.101,2017-12-12 16:29:20,桃園市,桃園區,FOX,
No.102,2017-12-12 19:48:23,新北市,中和區,勞基法老王,"通通給我周休二日
有假好好放"
No.103,2017-12-12 20:45:14,高雄市,鳳山區,BonYen,
No.104,2017-12-12 21:41:14,臺南市,北區,小美人,
No.105,2017-12-12 21:57:49,臺北市,信義區,Lynn,
No.106,2017-12-12 22:18:48,新北市,鶯歌區,Yu,
No.107,2017-12-12 22:30:06,臺北市,文山區,蔡英文,去跟你老闆說阿
No.108,2017-12-12 23:49:09,新北市,淡水區,幾霸昏,
No.109,2017-12-13 08:21:50,桃園市,楊梅區,阿吉,
No.110,2017-12-13 09:11:08,新北市,土城區,RICH  SIN,"贊成,還請相關單位多多納入"
No.111,2017-12-13 10:44:23,桃園市,楊梅區,小芳,
No.112,2017-12-13 12:33:48,新北市,板橋區,Ivy,
No.113,2017-12-13 13:47:19,新北市,中和區,JR,
No.114,2017-12-14 09:22:37,新北市,蘆洲區,mint,
No.115,2017-12-14 10:53:30,新北市,新店區,阿一,
No.116,2017-12-14 12:54:28,高雄市,鳥松區,Snoopy,
No.117,2017-12-14 12:57:47,屏東縣,屏東市,小叮噹,
No.118,2017-12-14 22:33:48,苗栗縣,三義鄉,Daniel,
No.119,2017-12-15 09:01:23,桃園市,中壢區,紅魚,
No.120,2017-12-16 14:05:29,臺北市,文山區,lily,附議
No.121,2017-12-17 23:12:30,臺北市,內湖區,被壓榨的人,
No.122,2017-12-19 17:28:54,高雄市,苓雅區,一道彩虹,這樣很公平
No.123,2017-12-23 22:17:30,桃園市,桃園區,Ada,
No.124,2017-12-24 20:35:54,臺中市,太平區,Chia,
No.125,2017-12-25 21:00:59,臺南市,鹽水區,andy,good idea.
No.126,2017-12-26 20:38:23,臺中市,西屯區,劉志虔,
No.127,2018-01-07 15:12:16,高雄市,前金區,hsinwenyu,
No.128,2018-01-09 16:46:22,彰化縣,員林鎮,芋頭,

