"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-12-09 01:22:52,高雄市,鹽埕區,Vincent,
No.2,2017-12-09 18:36:02,臺中市,北屯區,安國,
No.3,2017-12-10 22:46:54,臺中市,清水區,阿發,
No.4,2017-12-11 09:13:26,屏東縣,萬丹鄉,柚235,擾民無誤
No.5,2017-12-11 12:52:22,新北市,新店區,may ray,
No.6,2017-12-12 12:43:28,嘉義縣,溪口鄉,台灣政府剝奪,
No.7,2017-12-12 21:55:22,臺南市,永康區,r774390,
No.8,2017-12-12 23:35:41,高雄市,小港區,惡魔Aini,
No.9,2017-12-13 21:11:51,桃園市,八德區,Jason,
No.10,2017-12-14 20:46:40,臺北市,文山區,小偉,
No.11,2017-12-15 14:46:40,新北市,林口區,憲緯,
No.12,2017-12-15 20:11:03,新竹縣,竹東鎮,Blue,
No.13,2017-12-17 01:25:32,高雄市,鳳山區,Chun,
No.14,2017-12-17 21:50:58,花蓮縣,吉安鄉,LKK,贊成。
No.15,2017-12-21 14:21:35,苗栗縣,竹南鎮,張老伯,支持此提案！
No.16,2017-12-22 13:33:55,新竹縣,竹北市,大頭,
No.17,2017-12-23 22:21:36,臺中市,西屯區,Chagin,
No.18,2017-12-28 17:28:04,臺中市,南屯區,香蕉,

