"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2018-04-14 23:09:08,臺南市,中西區,阿文,
No.2,2018-04-14 23:44:30,臺南市,安南區,顏碩毅,內容實際 符合永續發展
No.3,2018-04-17 15:09:20,臺中市,北區,愛玉,非常好，臺灣塑膠量真的太多，多少的動物被傷害了，平常路上也一堆塑膠袋亂飛，想要台灣文化提升，素養必須先提升
No.4,2018-04-17 18:12:27,新北市,金山區,落晰,很好
No.5,2018-04-20 04:17:21,臺南市,永康區,Jake,
No.6,2018-04-21 17:18:26,臺北市,信義區,Hero,歡迎支持我們的公民電廠提案：讓支持綠能憑證，願意出資架設太陽能電站的自然人、民間團體、微型新創也能跟能源公司一樣競標公家機關屋頂！！！ https://join.gov.tw/idea/detail/81bad6d9-2265-457b-ba75-f333f3681873
No.7,2018-04-22 18:43:42,臺南市,永康區,興爺,讚
No.8,2018-04-22 19:35:27,臺南市,永康區,Rain mi,
No.9,2018-04-22 19:52:02,臺南市,永康區,小傑,

