"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-06-15 16:49:23,新竹市,東區,Evan,
No.2,2017-06-15 21:34:28,新竹縣,竹北市,女秘書,
No.3,2017-06-16 07:45:14,彰化縣,員林鎮,螞蟻,
No.4,2017-06-16 09:30:18,臺中市,豐原區,Wang,
No.5,2017-06-16 19:30:49,屏東縣,屏東市,木男,同意~~
No.6,2017-06-17 00:34:19,臺南市,新化區,Ally,
No.7,2017-06-17 03:22:08,新北市,板橋區,vincent,
No.8,2017-06-17 19:50:23,屏東縣,長治鄉,Angel,
No.9,2017-06-17 20:28:21,臺中市,南區,龍貓,
No.10,2017-06-18 06:16:22,屏東縣,屏東市,Mark,
No.11,2017-06-19 14:46:42,新北市,樹林區,反菸救台灣,
No.12,2017-06-19 22:00:31,臺中市,北屯區,Zack,
No.13,2017-06-19 23:46:20,新竹市,東區,羊肉,禁菸大麻合法
No.14,2017-06-20 10:32:23,高雄市,前鎮區,水電工,
No.15,2017-06-23 20:47:51,臺北市,信義區,ufoinspace,吸煙傷身又損人
No.16,2017-06-23 23:35:00,臺中市,梧棲區,Nancy,
No.17,2017-06-25 11:26:40,高雄市,旗山區,jim,
No.18,2017-06-26 18:10:29,臺北市,松山區,若,
No.19,2017-06-27 11:22:49,彰化縣,彰化市,核統,
No.20,2017-07-10 22:40:11,新竹市,東區,死不吸菸,
No.21,2017-07-14 15:05:43,嘉義縣,新港鄉,黑黑,
No.22,2017-07-19 10:58:40,臺北市,士林區,獅兔兔,
No.23,2017-07-24 13:30:42,臺南市,後壁區,koki,
No.24,2017-07-27 08:33:28,嘉義縣,阿里山鄉,jessie,
No.25,2017-07-28 01:46:26,高雄市,新興區,大貓,
No.26,2017-07-28 04:15:40,臺南市,東區,林小安,
No.27,2017-07-28 13:02:05,新北市,三重區,DOG11,
No.28,2017-07-30 07:08:36,屏東縣,東港鎮,mingchen,
No.29,2017-07-30 20:42:31,新北市,板橋區,TW,
No.30,2017-07-30 22:03:29,新竹市,東區,Yee,支持。保障不吸菸者的權利。
No.31,2017-08-03 11:22:04,桃園市,八德區,Sam,
No.32,2017-08-08 15:38:46,桃園市,平鎮區,清明,
No.33,2017-08-08 17:18:13,臺南市,安南區,Nancy,支持，本人不喜歡吸二手煙，希望能直接禁止吸煙 ，因為就算戶外還是會因為風向關係被迫吸到，本人曾經因在戶外熱炒店跟山上戶外景觀餐廳，因為用餐緣故，本人與自家小小孩因風向關係，被迫吸入二手煙，更有沒品的吸煙者，不顧別人的抗議照抽，害別人吸入二手煙，直接禁止吸香煙，更該讓沒品的吸煙者了解，被人強迫不喜歡的事物是多痛苦的事。
No.34,2017-08-09 00:41:09,高雄市,林園區,嚕嚕咪,雖然一些空間已經有規劃吸菸區，但仍然有非常多人吸煙人無視，隨手就點根菸，所以只好採取強硬手段。
