"編號",附議時間,居住縣市,鄉鎮市區,附議人匿稱,附議原因
No.1,2017-04-29 22:20:17,新北市,中和區,德德,好
No.2,2017-04-30 15:07:31,桃園市,平鎮區,Leo,
No.3,2017-05-01 04:13:13,新北市,新莊區,秀,
No.4,2017-05-01 07:38:36,新竹縣,新豐鄉,Mr.S,"裝設擊破器,保護乘客. 也請支持""宅版錢瞻計畫"",""調整行政區有效整合區域資源"",""建立立體交通網徹底解決交通問題"",""取消台灣本島長途電話費"",""教育改革應從建立大數據庫&學分制度著手"",""禁止商業繁殖貓狗"""
No.5,2017-05-01 17:00:29,新北市,新莊區,skygreyfortear,
No.6,2017-05-01 18:10:55,臺北市,大安區,康至青,
No.7,2017-05-01 21:37:29,新北市,板橋區,seeing,
No.8,2017-05-02 02:26:12,苗栗縣,公館鄉,Aaron,
No.9,2017-05-04 19:45:08,苗栗縣,頭份鎮,Jack,的確需要這種裝置。交通部官員還需要什麼人們提案？就直接做了。高速公路漲價時，怎不先上公共政策平台來問國人呢？
No.10,2017-05-18 00:35:32,新北市,蘆洲區,冰紅茶,
No.11,2017-05-26 17:48:38,新北市,新莊區,4682,
No.12,2017-06-03 21:59:23,新竹縣,竹北市,Eric,支持
